article,noun,translation,plural,
das, Auto,Car
das, Bild,Picture
das, Blau,Blue
das, Buch,Book
das, Bügeleisen,Iron (for ironing clothes)
das, Fahrrad,Bicycle
das, Grün,Green
das, Handy,Cellphone
das, Heft,Note Book
das, Radio,Radio
das, Rot,Red
das, Schnäppchen, Bargain
das, Wochenende,Weekend
das, Wörterbuch,Dictionary
der, Bleistift,pencil
der, Computer,Computer,
der, Dienstag,Tuesday
der, Donnerstag,Thursday
der, Drucker,Printer
der, Fernseher,TV
der, Freitag,Friday
der, Fußball,Football
der, Herd,Stove
der, Kinderwagen,Baby Trolley
der, Kuli,Pen
der, Kühlschrank,Refrigerator
der, MP3-Player,MP3-Player
der, Mittwoch,Wednesday
der, Montag,Monday
der, Papierkorb,Recycle bin
der, Samstag,Saturday
der, Sonntag,Sunday
der, Staubsauger,Vacum Cleaner
der, Stuhl,Chair
der, Tag,Day
der, Tisch,Table
der, Wasserkocher,Water Boiler
der, Zoll, Inch
die, Brille,Glasses
die, CD,CD
die, DVD,DVD
die, Digitalkamera,Digital Camera
die, Kaffeemaschinen,Coffee Machine
die, Lampe,Lamp
die, Schere,scissors
die, Spulmaschine,Dish Washing Machine
die, Tasche,Purse
die, Tasse,Cup
die, Teekanne, Teapot
die, Thermoskanne, Thermos
die, Uhr,Clock
die, Waschmaschine,Washing Machine
